source,target,weight,shared_events
1622,920,0.1964,2
893,1451,0.1917,2
2,529,0.1911,3
2,3592,0.1909,2
531,70,0.1909,2
3699,1885,0.188,2
6193,55,0.188,2
6193,2640,0.188,2
1038,2829,0.1875,2
1632,2829,0.1875,2
3608,1632,0.1845,2
706,1240,0.1838,2
529,1058,0.1838,3
530,1058,0.1838,3
72,206,0.1776,2
70,2638,0.1742,2
1427,7069,0.1736,2
2611,2138,0.1699,2
530,1796,0.1699,2
532,1796,0.1699,2
2611,2213,0.1699,2
706,1796,0.1699,2
303,426,0.1667,1
303,946,0.1667,1
26,622,0.1667,1
26,50,0.1667,1
1810,426,0.1667,1
1296,2433,0.1667,2
343,966,0.1667,1
2,4506,0.1667,1
2,549,0.1667,1
549,1796,0.1667,1
1314,3955,0.1667,1
1024,6207,0.1667,1
1024,966,0.1667,1
9253,343,0.1667,1
966,991,0.1667,1
343,1451,0.1667,1
343,893,0.1667,1
1427,4506,0.1667,1
51,1683,0.1667,1
55,668,0.1667,1
51,4506,0.1667,1
50,706,0.1667,1
3608,3609,0.1667,1
4707,1451,0.1667,1
2640,991,0.1667,1
622,304,0.1667,1
532,50,0.1667,1
532,4494,0.1667,1
4707,4506,0.1667,1
4707,1291,0.1667,1
532,1185,0.1667,1
4707,3737,0.1667,1
622,1265,0.1667,1
6430,343,0.1667,1
55,1810,0.1667,1
55,946,0.1667,1
35,622,0.1667,1
55,303,0.1667,1
2,1683,0.1667,1
530,35,0.1667,1
668,991,0.1667,1
668,3973,0.1667,1
529,35,0.1667,1
549,3973,0.1667,1
738,946,0.1667,1
1796,426,0.1667,1
6207,1677,0.1667,1
70,426,0.1667,1
6207,426,0.1667,1
1796,4021,0.1667,1
3973,991,0.1667,1
426,986,0.1667,1
1677,966,0.1667,1
3609,1622,0.1667,1
668,426,0.1667,1
3737,343,0.1667,1
3737,1451,0.1667,1
549,51,0.1667,1
549,4506,0.1667,1
1199,1796,0.1667,1
72,2640,0.1667,1
70,1185,0.1667,1
1265,343,0.1667,1
10393,303,0.1667,1
35,9253,0.1667,1
4707,763,0.1667,1
50,304,0.1667,1
530,4494,0.1667,1
530,50,0.1667,1
51,991,0.1667,1
17027,426,0.1625,2
17027,2213,0.1588,2
529,70,0.1588,2
6403,7069,0.1579,3
4,7069,0.1579,3
4,966,0.1579,3
2,6403,0.1579,3
6403,966,0.1579,3
1038,1622,0.155,5
2,436,0.1538,2
531,1683,0.1538,2
17027,436,0.1538,2
3545,5111,0.1534,2
2611,1622,0.15,2
529,6430,0.1497,2
1291,6430,0.1497,2
530,6430,0.1497,2
586,4575,0.1497,2
530,3545,0.1497,2
5777,6430,0.1497,2
6430,4506,0.1497,2
6430,3545,0.1497,2
2607,4575,0.1485,3
2638,1451,0.1458,2
1685,991,0.1436,2
551,3955,0.1429,1
551,1683,0.1429,1
551,55,0.1429,1
6207,1427,0.1429,1
6207,1265,0.1429,1
55,1683,0.1429,1
